Date,DateType,Reason
10/29/2016 00:00:00,Rain,Missing
10/30/2016 00:00:00,Rain,Missing
10/31/2016 00:00:00,Rain,Missing
11/01/2016 00:00:00,Rain,Missing
11/02/2016 00:00:00,Rain,Missing
11/03/2016 00:00:00,Rain,Missing
11/04/2016 00:00:00,Rain,Missing
11/05/2016 00:00:00,Rain,Missing
11/06/2016 00:00:00,Rain,Missing
11/07/2016 00:00:00,Rain,Missing
11/08/2016 00:00:00,Rain,Missing
11/09/2016 00:00:00,Rain,Missing
11/10/2016 00:00:00,Rain,Missing
11/11/2016 00:00:00,Rain,Missing
11/12/2016 00:00:00,Rain,Missing
11/13/2016 00:00:00,Rain,Missing
11/14/2016 00:00:00,Rain,Missing
11/15/2016 00:00:00,Rain,Missing
11/16/2016 00:00:00,Rain,Missing
11/17/2016 00:00:00,Rain,Missing
11/18/2016 00:00:00,Rain,Missing
11/19/2016 00:00:00,Rain,Missing
11/20/2016 00:00:00,Rain,Missing
11/21/2016 00:00:00,Rain,Missing
11/22/2016 00:00:00,Rain,Missing
11/23/2016 00:00:00,Rain,Missing
11/24/2016 00:00:00,Rain,Missing
11/25/2016 00:00:00,Rain,Missing
11/26/2016 00:00:00,Rain,Missing
11/27/2016 00:00:00,Rain,Missing
11/28/2016 00:00:00,Rain,Missing
11/29/2016 00:00:00,Rain,Missing
11/30/2016 00:00:00,Rain,Missing
12/01/2016 00:00:00,Rain,Missing
12/02/2016 00:00:00,Rain,Missing
12/03/2016 00:00:00,Rain,Missing
12/04/2016 00:00:00,Rain,Missing
12/05/2016 00:00:00,Rain,Missing
12/06/2016 00:00:00,Rain,Missing
12/07/2016 00:00:00,Rain,Missing
12/08/2016 00:00:00,Rain,Missing
12/09/2016 00:00:00,Rain,Missing
12/10/2016 00:00:00,Rain,Missing
12/11/2016 00:00:00,Rain,Missing
12/12/2016 00:00:00,Rain,Missing
12/13/2016 00:00:00,Rain,Missing
12/14/2016 00:00:00,Rain,Missing
12/15/2016 00:00:00,Rain,Missing
12/16/2016 00:00:00,Rain,Missing
12/17/2016 00:00:00,Rain,Missing
12/18/2016 00:00:00,Rain,Missing
12/19/2016 00:00:00,Rain,Missing
12/20/2016 00:00:00,Rain,Missing
12/21/2016 00:00:00,Rain,Missing
12/22/2016 00:00:00,Rain,Missing
12/23/2016 00:00:00,Rain,Missing
12/24/2016 00:00:00,Rain,Missing
12/25/2016 00:00:00,Rain,Missing
12/26/2016 00:00:00,Rain,Missing
12/27/2016 00:00:00,Rain,Missing
12/28/2016 00:00:00,Rain,Missing
12/29/2016 00:00:00,Rain,Missing
12/30/2016 00:00:00,Rain,Missing
12/31/2016 00:00:00,Rain,Missing
01/01/2017 00:00:00,Rain,Missing
01/02/2017 00:00:00,Rain,Missing
01/03/2017 00:00:00,Rain,Missing
01/04/2017 00:00:00,Rain,Missing
01/05/2017 00:00:00,Rain,Missing
01/06/2017 00:00:00,Rain,Missing
01/07/2017 00:00:00,Rain,Missing
01/08/2017 00:00:00,Rain,Missing
01/09/2017 00:00:00,Rain,Missing
01/10/2017 00:00:00,Rain,Missing
01/11/2017 00:00:00,Rain,Missing
01/12/2017 00:00:00,Rain,Missing
